	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16729.1732556754	7.89938909469944	0.407319777764498	19.3935809796761	8.74324474423033e-84	5.2879144213105e-80
gene-YDR536W	gene-YDR536W	10087.9189554449	7.87373613427379	0.410492234665704	19.1812060481144	5.31335163146082e-82	1.60675753335375e-78
gene-YHR094C	gene-YHR094C	8495.01885764923	7.88114883369854	0.431514337547973	18.2639327316033	1.60316880334997e-74	3.23198830755353e-71
gene-YNL065W	gene-YNL065W	2109.43034265483	7.78477903728148	0.466556700302285	16.6856011975343	1.66818209779805e-62	2.52229133187066e-59
gene-YKL120W	gene-YKL120W	1727.02836785398	7.26873545182289	0.48238721673333	15.0682588586114	2.61925154988363e-51	3.16824667473924e-48
gene-YJL122W	gene-YJL122W	1291.66022465253	6.49466363041019	0.431583064662228	15.0484672875038	3.53325750723433e-51	3.5615235672922e-48
gene-YLR264W	gene-YLR264W	1388.51177122178	6.48339314023775	0.431126595761121	15.0382583769666	4.12253951398551e-51	3.56187414008348e-48
gene-YGR159C	gene-YGR159C	8021.12638518386	6.76688154470373	0.451881442025708	14.9749047324647	1.07121224125944e-50	8.09836454392139e-48
gene-YNL112W	gene-YNL112W	5328.81010726064	7.36343227783384	0.494407233417911	14.8934557994416	3.63485790276253e-50	2.44262451065642e-47
gene-YOR271C	gene-YOR271C	1052.28422670348	6.8437263867388	0.472250327668913	14.4917345436694	1.36648021351217e-47	8.26447233132162e-45
gene-YJL108C	gene-YJL108C	955.138752222885	5.99552628064853	0.426747540226027	14.0493517021164	7.77424474500738e-45	4.27442111070951e-42
gene-YJL107C	gene-YJL107C	845.483018568782	6.17147999554018	0.441980625941449	13.963236470817	2.61293386667772e-44	1.31691866880557e-41
gene-YOR360C	gene-YOR360C	1923.06836704698	5.65828767262052	0.405717174623668	13.9463843941755	3.3096311032617e-44	1.53974222404052e-41
gene-YOL124C	gene-YOL124C	594.057369228608	7.80368908326559	0.562463777147328	13.8741184771825	9.09037912177603e-44	3.92704378060725e-41
gene-YOL136C	gene-YOL136C	1161.95293282827	5.70871384607415	0.415152008369545	13.7509002268696	5.02997205567629e-43	2.02808473284868e-40
gene-YER127W	gene-YER127W	730.869342372373	5.98015463765448	0.440156813044087	13.586418431868	4.8210082846468e-42	1.82234113159649e-39
gene-YCR072C	gene-YCR072C	701.008311650265	5.89433859183749	0.43786422383063	13.461567013334	2.63272988546438e-41	9.36632373369915e-39
gene-YLR180W	gene-YLR180W	1931.31914360978	6.78031172943465	0.504843657411458	13.4305178046608	4.00600533890029e-41	1.3460177938705e-38
gene-YNL141W	gene-YNL141W	2900.64002194071	6.47252705458292	0.48286611716429	13.404392697077	5.69878547327842e-41	1.81401339696778e-38
gene-YML043C	gene-YML043C	522.155224400323	6.41343175375936	0.480987124656717	13.3338948695075	1.47017191553089e-40	4.44579987256541e-38
gene-YMR300C	gene-YMR300C	1596.54671146942	5.81431301103493	0.439081260108731	13.2419976420654	5.01957072280721e-40	1.44563636816848e-37
gene-YEL026W	gene-YEL026W	2038.37721214769	5.3673205589692	0.408567964074375	13.1369099658341	2.02321310305458e-39	5.56199674876096e-37
gene-YOR359W	gene-YOR359W	477.913030752133	6.35633004625011	0.485375050410322	13.0957082381483	3.48409125096582e-39	9.16164516775707e-37
gene-YHR066W	gene-YHR066W	1305.6507923801	5.58250788837682	0.427247810282048	13.0662059676597	5.13641272986213e-39	1.29437600792526e-36
gene-YGR079W	gene-YGR079W	1514.28980403961	5.32779490187812	0.408022959603119	13.0575860413846	5.7523008035726e-39	1.39159661040028e-36
